ID	Day1	Day2	Day3	Day6	Day8	Day12
PF3D7_1338800	7.756058	7.948141	8.517609	9.380128	10.023916	9.887796
PF3D7_1338900	5.478707	5.984887	5.834105	5.954602	6.134185	6.270047
PF3D7_1339000	5.806682	5.781362	6.206009	6.15893	5.882218	6.841682
PF3D7_1339300	8.932824	8.781816	8.200493	7.771063	8.303154	7.428017
PF3D7_1339400	8.373673	8.56802	8.084627	8.546564	9.042555	8.342906
PF3D7_1339500	7.649174	7.58505	7.651187	7.554318	6.721805	6.004047
PF3D7_1339600	6.617342	6.791619	6.325788	6.482144	6.250122	6.471936
PF3D7_1339700	4.932364	5.308526	4.536875	4.595305	4.718018	4.749899
PF3D7_1339800	3.870197	4.245984	4.009767	4.316112	3.943428	4.214941
PF3D7_1339900	5.109041	5.026328	5.024443	4.937378	5.18759	5.071316
PF3D7_1340000	6.044016	6.483244	6.606332	7.105495	6.479563	6.582825
PF3D7_1340100	7.560592	7.385528	7.280918	7.650925	8.233881	9.2579
PF3D7_1340300	8.881046	8.185626	8.434274	8.475774	8.064686	8.149417
PF3D7_1340400	5.653259	6.327873	6.675574	7.290975	7.99951	8.740904
PF3D7_1340500	6.153968	6.323867	6.271741	6.965221	6.458756	6.447271
PF3D7_1340600	7.510296	7.125884	6.788119	6.550692	6.968669	5.725131
PF3D7_1340700	5.863979	6.489823	6.078159	6.254188	6.507865	6.977058
PF3D7_1340900	7.31474	6.950589	7.07008	6.925638	7.095446	7.173743
PF3D7_1341200	8.318235	6.847084	7.043679	6.874661	6.93681	7.443142
PF3D7_1341300	9.359844	8.868693	8.391769	8.126569	7.82948	6.405011
PF3D7_1341500	5.481036	5.798244	5.927098	6.581934	6.563883	6.676682
PF3D7_1341600	5.076195	5.354992	5.289111	5.136806	5.516814	5.705223
PF3D7_1341700	5.243375	5.727994	6.440711	6.289767	6.412984	7.854812
PF3D7_1341800	5.284965	5.430981	5.937532	6.85578	7.280811	6.546563
PF3D7_1341900	8.361501	8.399216	8.019916	8.544086	8.614532	7.582114
PF3D7_1342000	7.759319	6.834033	6.991219	6.050637	6.289938	6.104251
PF3D7_1342100	5.284044	5.253448	5.300852	5.410759	5.318182	5.798837
PF3D7_1342200	4.989335	5.64952	6.046656	5.290184	5.862863	5.691327
PF3D7_1342300	4.406773	4.450314	4.009838	4.018452	4.746945	4.952867
PF3D7_1342400	9.352172	9.272222	8.69507	8.638204	8.703964	7.898951
PF3D7_1342500	4.51006	4.631761	4.565914	5.471598	4.844568	6.290154
PF3D7_1342600	8.027368	8.635523	9.917433	9.322008	9.304563	9.055448
PF3D7_1342700	10.010822	7.655174	9.828673	9.83889	9.261875	9.7224
PF3D7_1342800	8.524186	7.548744	7.605022	8.441055	9.219019	7.997864
PF3D7_1342900	5.91527	6.074592	6.000804	5.88625	5.54924	5.988904
PF3D7_1343000	6.243636	6.039318	5.602799	4.916449	5.33537	5.219168
PF3D7_1343100	6.600632	7.540305	6.441802	6.717987	6.907479	7.86619
PF3D7_1343200	6.310718	6.108622	5.771674	6.155917	6.023299	5.51949
PF3D7_1343300	7.263871	7.328096	7.13649	7.108852	7.086942	6.632472
PF3D7_1343400	5.565465	5.597734	5.325102	5.247156	5.372135	5.461403
PF3D7_1343500	6.752535	6.914405	6.843478	7.386392	7.910284	8.006461
PF3D7_1343600	5.359326	5.264434	5.270863	5.175276	5.447134	5.383493
PF3D7_1343700	6.797261	6.298341	6.519839	6.234066	6.399903	6.876011
PF3D7_1343800	4.433994	4.852761	4.731383	4.767252	4.759986	4.675578
PF3D7_1343900	5.048131	5.165925	5.12119	4.574236	4.929512	5.352659
PF3D7_1344000	5.214091	5.137535	5.163757	5.324093	5.052181	5.510812
PF3D7_1344100	5.978913	5.835047	5.95703	5.894785	6.158516	6.05113
PF3D7_1344200	4.984409	5.427544	4.610942	4.672766	4.546481	4.587292
PF3D7_1344300	5.240775	5.600802	5.673894	5.51417	5.521872	5.533601
PF3D7_1344500	4.973459	5.953236	5.227813	4.973986	6.418556	7.306178
PF3D7_1344600	6.609671	6.966865	6.991326	7.127337	7.058573	7.841462
PF3D7_1344700	4.241704	4.181967	4.111176	4.077217	4.376908	4.406703
PF3D7_1344800	8.108041	7.472125	7.045487	7.396537	7.914296	7.738577
PF3D7_1344900	6.2838	6.004895	5.842132	5.76954	5.581973	5.370428
PF3D7_1345000	6.727617	6.838857	7.45781	8.019643	8.49463	8.337345
PF3D7_1345100	7.794557	7.451281	7.120646	7.469942	6.818412	8.114301
PF3D7_1345200	7.271558	7.440395	6.786816	6.619776	6.739393	7.215734
PF3D7_1345300	4.9506	6.11669	5.214291	5.430945	6.893271	6.259487
PF3D7_1345400	4.533367	4.847276	4.530214	4.613399	4.679529	4.607722
PF3D7_1345500	5.744298	5.795247	5.76283	5.215509	5.907616	5.028279
PF3D7_1345600	7.513388	7.686687	8.129626	7.936001	7.8501	6.65491
PF3D7_1345700	8.122737	8.06719	7.493827	7.65884	7.806687	8.03075
PF3D7_1345800	6.464827	6.091169	6.173095	5.906427	6.00474	5.8615
PF3D7_1345900	5.011178	5.334683	4.645567	5.464855	5.673382	7.116737
PF3D7_1346000	4.312918	4.235605	4.516524	5.17136	4.781489	4.790778
PF3D7_1346100	8.044987	8.340567	7.57067	7.756301	8.166785	7.149146
PF3D7_1346200	4.373795	4.158434	4.640058	4.010933	4.458768	4.621645
PF3D7_1346300	9.516637	8.998159	8.65052	8.062268	8.47403	8.575155
PF3D7_1346400	5.358547	5.395525	5.258958	5.278865	5.321631	5.366036
PF3D7_1346500	5.456069	5.058293	5.104122	5.031057	4.809999	5.080952
PF3D7_1346600	6.166443	6.426687	5.829158	6.276564	6.374405	6.55771
PF3D7_1346700	7.97625	8.142075	8.626621	8.897612	8.635177	6.978671
PF3D7_1346800	5.975329	6.208111	6.669731	7.199824	7.579306	7.405096
PF3D7_1346900	4.682256	4.644915	4.4892	4.939748	5.163136	4.783382
PF3D7_1347000	6.177767	6.52228	6.556965	6.918185	7.100575	7.498711
PF3D7_1347100	6.159908	6.824117	6.551595	7.113196	7.83994	8.081629
PF3D7_1347200	10.147183	9.51658	9.168105	9.25477	9.689864	9.122717
PF3D7_1347500	10.570092	10.067746	10.018315	9.802096	10.176574	10.525372
PF3D7_1347700	8.300208	8.278291	8.301178	8.414441	8.477634	8.084812
PF3D7_1347800	3.61512	3.676841	3.852521	3.688583	4.267834	3.807705
PF3D7_1347900	4.16668	4.599032	4.460262	4.267704	4.449366	4.424986
PF3D7_1348000	4.109077	4.240493	4.109722	4.71268	4.387047	3.978225
PF3D7_1348100	7.671026	8.910019	8.957386	8.875662	9.149832	9.767291
PF3D7_1348200	5.858503	6.130698	6.090589	6.086701	6.157162	6.999278
PF3D7_1348300	6.240486	5.970065	5.864798	5.836462	6.069545	5.83768
PF3D7_1348400	5.630073	5.97836	6.071036	6.404514	6.630256	6.262511
PF3D7_1348500	6.544772	6.979669	6.694557	6.842912	6.670849	7.205006
PF3D7_1348600	4.872037	5.521487	5.000856	5.446329	4.745406	5.705968
PF3D7_1348700	3.71595	4.332238	4.456002	4.531712	4.255899	4.822771
PF3D7_1348800	4.375061	4.658642	4.684443	4.846043	4.66692	5.013888
PF3D7_1348900	6.426299	5.919901	5.538854	5.91491	6.124452	7.338783
PF3D7_1349000	5.704376	6.186006	6.701828	7.110463	8.028164	8.038303
PF3D7_1349100	4.580533	5.360578	5.709007	5.598473	5.312781	5.417614
PF3D7_1349200	5.531918	5.135819	5.083839	5.172763	5.157382	5.184141
PF3D7_1349300	4.825791	4.959325	5.213775	5.117209	5.331879	5.065356
PF3D7_1349400	5.864339	5.726445	5.821521	5.676387	5.457866	7.018091
PF3D7_1349500	6.026374	6.131721	5.908408	5.941985	5.897949	5.835109
PF3D7_1349600	5.38923	5.645063	5.277636	5.127145	4.941093	5.249824
PF3D7_1349700	4.475237	4.766874	4.970998	4.813524	5.864785	5.469089
PF3D7_1349800	5.798944	5.67446	5.806792	5.53018	5.36446	5.573907
PF3D7_1349900	3.891505	3.800094	5.402181	4.460219	5.091161	4.357156
PF3D7_1350100	8.885168	8.547996	8.076717	8.310828	8.35282	7.956744
PF3D7_1350200	4.260847	3.759445	5.764327	4.206675	3.734903	4.583979
PF3D7_1350300	6.349315	6.428568	6.387195	6.348842	5.554524	5.399105
PF3D7_1350400	5.747966	6.434912	6.319916	5.622695	5.544204	6.053645
PF3D7_1350500	6.1436	6.063618	5.916321	5.694251	5.806997	6.03509
PF3D7_1350700	6.296513	6.558099	6.149963	6.441527	6.707598	6.757614
PF3D7_1350800	4.012923	4.216536	4.1375	4.53954	4.670183	5.13552
PF3D7_1350900	5.695699	5.338309	5.779949	5.887602	5.707571	5.387978
PF3D7_1351000	6.027246	5.768736	5.724814	5.676792	5.644114	5.296927
PF3D7_1351100	7.333667	7.820504	6.242732	6.493041	6.132613	7.136174
PF3D7_1351200	5.279013	5.170098	4.816531	4.86065	4.851592	5.45338
PF3D7_1351300	5.099747	5.513896	5.3026	5.505377	5.265829	5.902824
