ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53
PF3D7_0624200	0.0917	-0.0118	-0.0558	-0.1025	-0.1304	-0.1522	-0.1726	-0.183	-0.2319	-0.3107	-0.3139	-0.3469	-0.3721	-0.2906	-0.245	-0.2031	-0.0775	-0.0333	-0.0732	-0.0737	-0.0578	-0.1027	-0.0342	-0.0043	0.0381	0.0893	0.1356	0.1073	0.134	0.1423	0.1321	0.0702	0.0487	0.0536	0.0361	0.0062	0.0452	0.0522	0.0871	0.1952	0.2252	0.1843	0.1793	0.1679	0.1127	0.1075	0.1448	0.1767	0.1124	0.0414	-0.0345	-0.1401	-0.2211
PF3D7_0624400	-0.258	-0.2858	-0.347	-0.3895	-0.5373	-0.6427	-0.6661	-0.6877	-0.6613	-0.5414	-0.4577	-0.4237	-0.3824	-0.3915	-0.3766	-0.3296	-0.3005	-0.2576	-0.1466	-0.0756	0.0028	0.124	0.105	0.1379	0.1284	0.1656	0.1608	0.2582	0.243	0.2401	0.2032	0.1582	0.1412	0.1296	0.147	0.12	0.0976	0.1141	0.0613	0.0565	0.0557	0.019	-0.0781	-0.1307	-0.2131	-0.2707	-0.2694	-0.2779	-0.3062	-0.3031	-0.3476	-0.3994	-0.3887
PF3D7_0624500	0.6484	0.3346	0.1438	-0.042	-0.189	-0.2877	-0.3169	-0.4773	-0.5202	-0.5076	-0.5629	-0.6399	-0.5567	-0.6697	-0.6919	-0.767	-0.8404	-0.9011	-0.7711	-0.7122	-0.5992	-0.4627	-0.3167	-0.2306	-0.2085	-0.1761	-0.1286	-0.0853	-0.0474	0.0081	0.1357	0.2845	0.2959	0.2858	0.3003	0.3149	0.2591	0.3164	0.341	0.2604	0.2629	0.271	0.2941	0.3398	0.472	0.4548	0.4943	0.4619	0.4387	0.3813	0.3748	0.2679	0.1551
PF3D7_0624600	-0.582	-0.2928	-0.1949	-0.0804	-0.0574	-0.1579	-0.1498	-0.1611	-0.1619	-0.1888	-0.162	-0.2001	-0.2884	-0.3987	-0.5936	-0.636	-0.6832	-0.7111	-0.6635	-0.4602	-0.4071	-0.3213	-0.1881	-0.1657	-0.1898	-0.2413	-0.227	-0.3923	-0.3575	-0.3492	-0.2503	-0.2501	-0.0948	-0.1224	-0.1176	-0.1656	-0.1897	-0.1919	-0.1318	-0.0366	-0.0086	0.0993	0.16	0.1862	0.159	0.143	0.0576	0.0079	-0.1374	-0.2006	-0.4211	-0.646	-0.9972
PF3D7_0624700	0.1109	0.0706	0.0786	-0.0015	-0.1441	-0.2516	-0.353	-0.5615	-0.5985	-0.549	-0.6007	-0.5963	-0.462	-0.5495	-0.5468	-0.5151	-0.5223	-0.5327	-0.3564	-0.2854	-0.1736	-0.0643	-0.0036	0.0851	0.0955	0.1089	0.0824	0.0877	0.0493	0.0965	0.1241	0.2153	0.2549	0.2356	0.2684	0.2921	0.2609	0.2595	0.2937	0.2562	0.2183	0.2441	0.2337	0.2204	0.2116	0.2099	0.1864	0.1712	0.1168	0.1207	0.1402	0.1404	0.2227
PF3D7_0625000.1	0.3448	0.2386	0.2561	0.1874	0.24	0.3483	0.3313	0.3443	0.401	0.3912	0.3014	0.2205	0.1395	-0.0333	-0.0862	-0.2281	-0.2827	-0.323	-0.3174	-0.3775	-0.3647	-0.4241	-0.3632	-0.2897	-0.2593	-0.1987	-0.1612	-0.2095	-0.2546	-0.2426	-0.2456	-0.1969	-0.1744	-0.1479	-0.1249	-0.1062	-0.0823	-0.0635	0.0184	0.033	0.0769	0.0815	0.1569	0.1932	0.3204	0.3796	0.5102	0.516	0.6223	0.5313	0.5336	0.4726	0.2894
PF3D7_0625000.2	0.3448	0.2386	0.2561	0.1874	0.24	0.3483	0.3313	0.3443	0.401	0.3912	0.3014	0.2205	0.1395	-0.0333	-0.0862	-0.2281	-0.2827	-0.323	-0.3174	-0.3775	-0.3647	-0.4241	-0.3632	-0.2897	-0.2593	-0.1987	-0.1612	-0.2095	-0.2546	-0.2426	-0.2456	-0.1969	-0.1744	-0.1479	-0.1249	-0.1062	-0.0823	-0.0635	0.0184	0.033	0.0769	0.0815	0.1569	0.1932	0.3204	0.3796	0.5102	0.516	0.6223	0.5313	0.5336	0.4726	0.2894
PF3D7_0625100	0.0203	0.0218	0.0422	0.0066	0.0019	0.0253	-0.026	-0.0229	-0.0098	-0.0016	0.0321	0.0377	-0.0104	-0.0324	-0.0438	-0.1057	-0.1438	-0.1088	-0.0651	-0.08	-0.0719	-0.0377	-0.035	0.0134	0.0291	0.1771	0.1974	0.2173	0.1632	0.1838	0.0658	0.0733	0.0713	0.0752	0.0883	0.0791	0.0569	0.0453	0.0466	0.013	0.0028	0.0603	0.0942	0.1251	0.1544	0.1831	0.1604	0.0832	0.0497	0.0254	0.0043	0.0082	0.0624
PF3D7_0625200	0.2364	0.2024	0.1517	0.0762	0.0603	-0.0119	-0.0405	-0.1267	-0.1238	-0.2259	-0.2526	-0.2861	-0.2393	-0.3187	-0.3348	-0.3279	-0.3516	-0.4064	-0.3346	-0.2677	-0.2324	-0.1195	-0.0882	-0.0861	-0.113	-0.1163	-0.1145	-0.0619	-0.012	0.0346	0.11	0.1172	0.1415	0.1831	0.2386	0.2794	0.3352	0.3374	0.3774	0.4334	0.4312	0.4625	0.5215	0.5549	0.5704	0.5951	0.6145	0.6565	0.5556	0.4478	0.3555	0.201	0.1418
PF3D7_0625300	-0.1812	-0.1614	-0.26	-0.2914	-0.4493	-0.6157	-0.6625	-0.7625	-0.7801	-0.7837	-0.7746	-0.8374	-0.7978	-0.9534	-0.9712	-0.9228	-0.8772	-0.8147	-0.6688	-0.5647	-0.4456	-0.3129	-0.23	-0.1387	-0.048	0.003	0.0974	0.1408	0.2099	0.1972	0.2078	0.1346	0.1634	0.1471	0.1905	0.2111	0.2839	0.2886	0.3015	0.2723	0.2339	0.1878	0.1626	0.164	0.1615	0.1438	0.1363	0.1567	0.0224	-0.0483	-0.1847	-0.3813	-0.53
